{'Time': 0.8417246869000773, 'Cwnd': 20, 'Waiting_for_ack_nums': 20, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.0010773757420685242, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3883, 'Block_id': 1323, 'Create_time': 0.7708273518946811, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8417961779952549, 'Cwnd': 20, 'Waiting_for_ack_nums': 20, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.0020773757420685353, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3871, 'Block_id': 1323, 'Create_time': 0.7698988429898587, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8417961779952549, 'Cwnd': 21, 'Waiting_for_ack_nums': 19, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3891, 'Block_id': 1323, 'Create_time': 0.7720535944739957, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8417961779952549, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3892, 'Block_id': 1323, 'Create_time': 0.7721309702160642, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8418020626421457, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.0010773757420686066, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3884, 'Block_id': 1323, 'Create_time': 0.7709047276367496, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8418735537373233, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.0020773757420686177, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3872, 'Block_id': 1323, 'Create_time': 0.7699762187319271, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8418735537373233, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3893, 'Block_id': 1323, 'Create_time': 0.7722083459581328, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8419509294793919, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.002077375742068589, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3873, 'Block_id': 1323, 'Create_time': 0.7700535944739957, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8419509294793919, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3894, 'Block_id': 1323, 'Create_time': 0.7722857217002014, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8420283052214604, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.0020773757420685605, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3874, 'Block_id': 1323, 'Create_time': 0.7701309702160642, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8420283052214604, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3895, 'Block_id': 1323, 'Create_time': 0.7723630974422698, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.842105680963529, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.002077375742068532, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3875, 'Block_id': 1323, 'Create_time': 0.7702083459581328, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.842105680963529, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3896, 'Block_id': 1323, 'Create_time': 0.7724404731843384, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8421830567055975, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.0020773757420686143, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3876, 'Block_id': 1323, 'Create_time': 0.7702857217002013, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8421830567055975, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3897, 'Block_id': 1323, 'Create_time': 0.772517848926407, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.842260432447666, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.002077375742068585, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3877, 'Block_id': 1323, 'Create_time': 0.7703630974422698, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.842260432447666, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3898, 'Block_id': 1323, 'Create_time': 0.7725952246684755, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8423319235428435, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.001, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3885, 'Block_id': 1323, 'Create_time': 0.771666715763653, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8423378081897346, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.0020773757420685566, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3878, 'Block_id': 1323, 'Create_time': 0.7704404731843384, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8423378081897346, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3899, 'Block_id': 1323, 'Create_time': 0.772672600410544, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.842409299284912, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.001, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3886, 'Block_id': 1323, 'Create_time': 0.7717440915057215, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8424151839318031, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.002077375742068528, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3879, 'Block_id': 1323, 'Create_time': 0.770517848926407, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8424151839318031, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3900, 'Block_id': 1323, 'Create_time': 0.7727499761526125, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8424866750269806, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.001, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3887, 'Block_id': 1323, 'Create_time': 0.7718214672477901, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8424925596738716, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.0020773757420686103, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3880, 'Block_id': 1323, 'Create_time': 0.7705952246684754, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8424925596738716, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3901, 'Block_id': 1323, 'Create_time': 0.7728273518946811, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8425640507690492, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.001, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3888, 'Block_id': 1323, 'Create_time': 0.7718988429898587, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8425699354159402, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.0020773757420685817, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3881, 'Block_id': 1323, 'Create_time': 0.770672600410544, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8425699354159402, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3902, 'Block_id': 1323, 'Create_time': 0.7729047276367497, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8426414265111177, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.001, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3889, 'Block_id': 1323, 'Create_time': 0.7719762187319272, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8426473111580087, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.0020773757420685527, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3882, 'Block_id': 1323, 'Create_time': 0.7707499761526125, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8426473111580087, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3903, 'Block_id': 1323, 'Create_time': 0.7729821033788181, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8427188022531863, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.001, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3890, 'Block_id': 1323, 'Create_time': 0.7719762187319272, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8427246869000773, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.002077375742068524, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3883, 'Block_id': 1323, 'Create_time': 0.7708273518946811, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8427246869000773, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3904, 'Block_id': 1323, 'Create_time': 0.773666715763653, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8427961779952549, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.001, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3891, 'Block_id': 1323, 'Create_time': 0.7720535944739957, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8428020626421457, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.0020773757420686064, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3884, 'Block_id': 1323, 'Create_time': 0.7709047276367496, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8428020626421457, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3905, 'Block_id': 1323, 'Create_time': 0.7737440915057215, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8428735537373234, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.0010773757420685353, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3892, 'Block_id': 1323, 'Create_time': 0.7721309702160642, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8429509294793919, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.0010773757420686177, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3893, 'Block_id': 1323, 'Create_time': 0.7722083459581328, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8430283052214604, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.001077375742068589, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3894, 'Block_id': 1323, 'Create_time': 0.7722857217002014, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.843105680963529, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.0010773757420685602, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3895, 'Block_id': 1323, 'Create_time': 0.7723630974422698, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8431830567055976, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.0010773757420685316, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3896, 'Block_id': 1323, 'Create_time': 0.7724404731843384, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.843260432447666, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.001077375742068614, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3897, 'Block_id': 1323, 'Create_time': 0.772517848926407, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8433319235428435, 'Cwnd': 21, 'Waiting_for_ack_nums': 21, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.002, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3885, 'Block_id': 1323, 'Create_time': 0.771666715763653, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8433319235428435, 'Cwnd': 21, 'Waiting_for_ack_nums': 20, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3906, 'Block_id': 1323, 'Create_time': 0.7738214672477901, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
