{'Time': 30.129000000000442, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2563, 'Block_id': 914, 'Create_time': 30.129000000000442, 'Deadline': 0.2, 'Offset': 1, 'Payload': 12, 'Packet_size': 1500}
{'Time': 30.130000000000443, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2562, 'Block_id': 914, 'Create_time': 30.129000000000442, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.130035342959566, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 2563, 'Block_id': 914, 'Create_time': 30.129000000000442, 'Deadline': 0.2, 'Offset': 1, 'Payload': 12, 'Packet_size': 1500}
{'Time': 30.131000000000444, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2562, 'Block_id': 914, 'Create_time': 30.129000000000442, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.131035342959567, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 2563, 'Block_id': 914, 'Create_time': 30.129000000000442, 'Deadline': 0.2, 'Offset': 1, 'Payload': 12, 'Packet_size': 1500}
{'Time': 30.162000000000447, 'Cwnd': 11, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2565, 'Block_id': 915, 'Create_time': 30.162000000000447, 'Deadline': 0.2, 'Offset': 1, 'Payload': 417, 'Packet_size': 1500}
{'Time': 30.162000000000447, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2564, 'Block_id': 915, 'Create_time': 30.162000000000447, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.163000000000448, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2565, 'Block_id': 915, 'Create_time': 30.162000000000447, 'Deadline': 0.2, 'Offset': 1, 'Payload': 417, 'Packet_size': 1500}
{'Time': 30.16303534295957, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 2564, 'Block_id': 915, 'Create_time': 30.162000000000447, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.16400000000045, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2565, 'Block_id': 915, 'Create_time': 30.162000000000447, 'Deadline': 0.2, 'Offset': 1, 'Payload': 417, 'Packet_size': 1500}
{'Time': 30.164035342959572, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 2564, 'Block_id': 915, 'Create_time': 30.162000000000447, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.179999999999737, 'Cwnd': 11, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2566, 'Block_id': 1818, 'Create_time': 30.179999999999737, 'Deadline': 0.2, 'Offset': 0, 'Payload': 365, 'Packet_size': 1500}
{'Time': 30.180999999999738, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2566, 'Block_id': 1818, 'Create_time': 30.179999999999737, 'Deadline': 0.2, 'Offset': 0, 'Payload': 365, 'Packet_size': 1500}
