{'Time': 0.005232127226205606, 'Cwnd': 4, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0011547514841370706, 'Drop': 0, 'Packet_id': 7, 'Block_id': 1, 'Create_time': 0.004077375742068535, 'Deadline': 0.2, 'Offset': 6, 'Payload': 704, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.006, 'Cwnd': 4, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 4, 'Block_id': 1, 'Create_time': 0.002, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.006, 'Cwnd': 4, 'Waiting_for_ack_nums': 3, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 8, 'Block_id': 1315, 'Create_time': 0.004077375742068535, 'Deadline': 0.2, 'Offset': 0, 'Payload': 514, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.006077375742068535, 'Cwnd': 4, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 5, 'Block_id': 1, 'Create_time': 0.002, 'Deadline': 0.2, 'Offset': 4, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.006154751484137071, 'Cwnd': 4, 'Waiting_for_ack_nums': 3, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0020773757420685353, 'Drop': 0, 'Packet_id': 6, 'Block_id': 1, 'Create_time': 0.004, 'Deadline': 0.2, 'Offset': 5, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.006232127226205606, 'Cwnd': 4, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0021547514841370706, 'Drop': 0, 'Packet_id': 7, 'Block_id': 1, 'Create_time': 0.004077375742068535, 'Deadline': 0.2, 'Offset': 6, 'Payload': 704, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.007, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 8, 'Block_id': 1315, 'Create_time': 0.004077375742068535, 'Deadline': 0.2, 'Offset': 0, 'Payload': 514, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.008, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 8, 'Block_id': 1315, 'Create_time': 0.004077375742068535, 'Deadline': 0.2, 'Offset': 0, 'Payload': 514, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.033, 'Cwnd': 8, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 14, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 5, 'Payload': 669, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.033, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 13, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 4, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.033, 'Cwnd': 8, 'Waiting_for_ack_nums': 2, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 12, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.033, 'Cwnd': 8, 'Waiting_for_ack_nums': 3, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 11, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.033, 'Cwnd': 8, 'Waiting_for_ack_nums': 4, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 9, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.033, 'Cwnd': 8, 'Waiting_for_ack_nums': 5, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 10, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.034, 'Cwnd': 8, 'Waiting_for_ack_nums': 6, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 14, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 5, 'Payload': 669, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.03407737574206854, 'Cwnd': 8, 'Waiting_for_ack_nums': 6, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010773757420685353, 'Drop': 0, 'Packet_id': 13, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 4, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.034154751484137075, 'Cwnd': 8, 'Waiting_for_ack_nums': 6, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0011547514841370706, 'Drop': 0, 'Packet_id': 12, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.03423212722620561, 'Cwnd': 8, 'Waiting_for_ack_nums': 6, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0012321272262056059, 'Drop': 0, 'Packet_id': 11, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.03430950296827414, 'Cwnd': 8, 'Waiting_for_ack_nums': 6, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001309502968274141, 'Drop': 0, 'Packet_id': 9, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.034386878710342676, 'Cwnd': 8, 'Waiting_for_ack_nums': 6, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0013868787103426762, 'Drop': 1, 'Packet_id': 10, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.035, 'Cwnd': 8, 'Waiting_for_ack_nums': 6, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 14, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 5, 'Payload': 669, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.03507737574206854, 'Cwnd': 8, 'Waiting_for_ack_nums': 5, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0020773757420685353, 'Drop': 0, 'Packet_id': 13, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 4, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.035154751484137076, 'Cwnd': 8, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0021547514841370706, 'Drop': 0, 'Packet_id': 12, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.03523212722620561, 'Cwnd': 8, 'Waiting_for_ack_nums': 3, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002232127226205606, 'Drop': 0, 'Packet_id': 11, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.03530950296827414, 'Cwnd': 8, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002309502968274141, 'Drop': 0, 'Packet_id': 9, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.03538687871034268, 'Cwnd': 8, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0023868787103426764, 'Drop': 1, 'Packet_id': 10, 'Block_id': 2, 'Create_time': 0.033, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.03538687871034268, 'Cwnd': 4, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 52, 'Block_id': 2, 'Create_time': 0.03538687871034268, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.03638687871034268, 'Cwnd': 4, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 52, 'Block_id': 2, 'Create_time': 0.03538687871034268, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.03738687871034268, 'Cwnd': 4, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 52, 'Block_id': 2, 'Create_time': 0.03538687871034268, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.06, 'Cwnd': 4, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 15, 'Block_id': 1316, 'Create_time': 0.06, 'Deadline': 0.2, 'Offset': 0, 'Payload': 305, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.061, 'Cwnd': 4, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 15, 'Block_id': 1316, 'Create_time': 0.06, 'Deadline': 0.2, 'Offset': 0, 'Payload': 305, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.062, 'Cwnd': 4, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 15, 'Block_id': 1316, 'Create_time': 0.06, 'Deadline': 0.2, 'Offset': 0, 'Payload': 305, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.066, 'Cwnd': 4, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 16, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.066, 'Cwnd': 4, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 18, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.066, 'Cwnd': 4, 'Waiting_for_ack_nums': 2, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 17, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.066, 'Cwnd': 4, 'Waiting_for_ack_nums': 3, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 19, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1053, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.067, 'Cwnd': 4, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 16, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.06707737574206854, 'Cwnd': 4, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010773757420685353, 'Drop': 0, 'Packet_id': 18, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.06715475148413708, 'Cwnd': 4, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0011547514841370706, 'Drop': 0, 'Packet_id': 17, 'Block_id': 3, 'Create_time': 0.066, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
