{'Time': 15.017176714795545, 'Cwnd': 14, 'Waiting_for_ack_nums': 5, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.0021767147956185118, 'Drop': 1, 'Packet_id': 1285, 'Block_id': 456, 'Create_time': 15.014999999999926, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.017176714795545, 'Cwnd': 7, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.0021767147956185118, 'Drop': 1, 'Packet_id': 1284, 'Block_id': 456, 'Create_time': 15.014999999999926, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.017176714795545, 'Cwnd': 7, 'Waiting_for_ack_nums': 3, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.0021767147956185118, 'Drop': 1, 'Packet_id': 1283, 'Block_id': 456, 'Create_time': 15.014999999999926, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.017176714795545, 'Cwnd': 7, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.0021767147956185118, 'Drop': 1, 'Packet_id': 1282, 'Block_id': 456, 'Create_time': 15.014999999999926, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.017176714795545, 'Cwnd': 7, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.0021767147956185118, 'Drop': 1, 'Packet_id': 1291, 'Block_id': 456, 'Create_time': 15.014999999999926, 'Deadline': 0.2, 'Offset': 9, 'Payload': 705, 'Packet_size': 1500}
{'Time': 15.017176714795545, 'Cwnd': 7, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 3732, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.017176714795545, 'Cwnd': 7, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 3733, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.017176714795545, 'Cwnd': 7, 'Waiting_for_ack_nums': 2, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 3734, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.017176714795545, 'Cwnd': 7, 'Waiting_for_ack_nums': 3, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 3735, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.017176714795545, 'Cwnd': 7, 'Waiting_for_ack_nums': 4, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 3736, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 9, 'Payload': 705, 'Packet_size': 1500}
{'Time': 15.018176714795544, 'Cwnd': 7, 'Waiting_for_ack_nums': 5, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 3732, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.018212057754669, 'Cwnd': 7, 'Waiting_for_ack_nums': 5, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 3733, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.018247400713792, 'Cwnd': 7, 'Waiting_for_ack_nums': 5, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.0010706859182474046, 'Drop': 0, 'Packet_id': 3734, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.018282743672916, 'Cwnd': 7, 'Waiting_for_ack_nums': 5, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.001106028877371107, 'Drop': 0, 'Packet_id': 3735, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.01831808663204, 'Cwnd': 7, 'Waiting_for_ack_nums': 5, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Lantency': 0.0011413718364948091, 'Drop': 0, 'Packet_id': 3736, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 9, 'Payload': 705, 'Packet_size': 1500}
{'Time': 15.019176714795544, 'Cwnd': 7, 'Waiting_for_ack_nums': 5, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 3732, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.019212057754668, 'Cwnd': 7, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 3733, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.019247400713791, 'Cwnd': 7, 'Waiting_for_ack_nums': 3, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.0020706859182474044, 'Drop': 0, 'Packet_id': 3734, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.019282743672916, 'Cwnd': 7, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002106028877371107, 'Drop': 0, 'Packet_id': 3735, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.019318086632039, 'Cwnd': 7, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Lantency': 0.002141371836494809, 'Drop': 0, 'Packet_id': 3736, 'Block_id': 456, 'Create_time': 15.017176714795545, 'Deadline': 0.2, 'Offset': 9, 'Payload': 705, 'Packet_size': 1500}
{'Time': 15.047999999999925, 'Cwnd': 7, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1294, 'Block_id': 457, 'Create_time': 15.047999999999925, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1295, 'Packet_size': 1500}
{'Time': 15.047999999999925, 'Cwnd': 7, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1293, 'Block_id': 457, 'Create_time': 15.047999999999925, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 15.047999999999925, 'Cwnd': 7, 'Waiting_for_ack_nums': 2, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1292, 'Block_id': 457, 'Create_time': 15.047999999999925, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
